iter	AUC	Logloss
437	0.7720504403	0.6414867219
438	0.772247076	0.6413722463
439	0.7727006674	0.6412380048
440	0.7729678154	0.6411180011
441	0.7731350064	0.6409913739
442	0.7737563252	0.6408203125
443	0.7740877271	0.6406705295
444	0.7747989297	0.6405034838
445	0.7754647732	0.6402951331
446	0.7757945657	0.6401675672
447	0.7763604522	0.6400147071
448	0.7769860029	0.639829095
449	0.777356565	0.6397161841
450	0.7778116465	0.6395535714
451	0.7782043815	0.6394165658
452	0.77873981	0.6392466518
453	0.7792231441	0.6390811707
454	0.7796927691	0.6389351427
455	0.7799103558	0.6388568091
456	0.7804629207	0.6386997246
457	0.7807151973	0.6385853534
458	0.7811473608	0.6384515813
459	0.7814673185	0.6382952791
460	0.7819405794	0.6381460698
461	0.7822600007	0.6380384784
462	0.7828779817	0.637881759
463	0.7832585573	0.6377358353
464	0.7835869789	0.6376118158
465	0.7842550278	0.6374207276
466	0.7846078277	0.6372900847
467	0.7849767804	0.637148594
468	0.7855716944	0.636995786
469	0.7859093547	0.636868846
470	0.7863048315	0.63671124
471	0.7868170738	0.6365538948
472	0.7871720195	0.6364251815
473	0.7875138521	0.6362959467
474	0.7879831791	0.6361642607
475	0.7883009911	0.6360691338
476	0.7889003754	0.6358967165
477	0.7891898155	0.6357224737
478	0.7897520065	0.635555063
479	0.7900884748	0.6354122163
480	0.7906028628	0.6352513247
481	0.7909681797	0.6351108248
482	0.7913608551	0.6349482644
483	0.7918818593	0.6347804886
484	0.7923912406	0.6346147467
485	0.7927706838	0.6344818091
486	0.7931512296	0.6343320782
487	0.7936258912	0.6341811999
488	0.7941009998	0.6340060184
489	0.7942338586	0.6338878922
490	0.794672668	0.6337476531
491	0.7949876189	0.6335926548
492	0.7952851057	0.6334523114
493	0.7958222628	0.6332760869
494	0.7960194349	0.6331778309
495	0.7963190675	0.633038687
496	0.7968274951	0.6328889561
497	0.7970658541	0.6327655103
498	0.7974346876	0.6326157272
499	0.7980831265	0.6324433098
500	0.7985064387	0.6322904498
501	0.7989472449	0.6321427528
502	0.7992364168	0.6319895277
503	0.7996708751	0.6318378672
504	0.8002601862	0.6316725947
505	0.8007071614	0.6315325643
506	0.8010959029	0.6313995223
507	0.8014136553	0.6312702353
508	0.8018810153	0.6311187312
509	0.8022956252	0.6309645673
510	0.8027343154	0.6308086303
511	0.8030537367	0.6306818466
512	0.8032988906	0.6305644505
513	0.803657949	0.6304162842
514	0.804084301	0.6302694739
515	0.8045704961	0.6301156751
516	0.8049319983	0.6299716288
517	0.8054689467	0.6297937876
518	0.8059184551	0.6296188668
519	0.8063383102	0.6294568279
520	0.8066276908	0.629351114
521	0.8072305322	0.6291878755
522	0.8074960113	0.629040335
523	0.8080587685	0.6288709425
524	0.8083337247	0.6287623081
525	0.808647275	0.6286074141
526	0.8089651465	0.6284744242
527	0.8093042374	0.6283584884
528	0.8095344901	0.6282287321
529	0.8098227382	0.6280767586
530	0.810147047	0.627926454
531	0.81049788	0.627774637
532	0.81092906	0.6276068091
533	0.8111854196	0.6275010431
534	0.8115363717	0.6273438543
535	0.8119592071	0.6271993387
536	0.8123803735	0.6270412112
537	0.8127039671	0.6268912717
538	0.8131437302	0.6267507719
539	0.8136034012	0.6265974424
540	0.8138102889	0.6264830712
541	0.8141080737	0.6263674483
542	0.8143287301	0.6262345106
543	0.8146541119	0.6261140896
544	0.8149687648	0.6259782835
545	0.815130353	0.6258850342
546	0.8154464364	0.6257817194
547	0.8157950044	0.6256532669
548	0.8162241578	0.6254959738
549	0.8165169954	0.6253544831
550	0.816873312	0.625208455
551	0.8172101974	0.6250576811
552	0.8173732758	0.6249275597
553	0.8176938891	0.6248111023
554	0.8178425431	0.6246696637
555	0.8181094527	0.6245479911
556	0.8183393478	0.6244389394
557	0.8187110424	0.6242925985
558	0.8189524412	0.6241824516
559	0.8192539811	0.6240564503
560	0.819660604	0.6239056242
561	0.8200287223	0.6237498435
562	0.8204349279	0.6236214432
563	0.8206963539	0.6235260034
564	0.8211780488	0.6233463889
565	0.8215005696	0.6232155895
566	0.8217204809	0.6230861461
567	0.8217837214	0.6230100551
568	0.8222841024	0.6228424357
569	0.8226240873	0.6227066297
570	0.822868824	0.6225554907
571	0.8232269883	0.6224129569
572	0.8236045837	0.6222733436
573	0.8238587379	0.6221417098
574	0.8242936134	0.62199031
575	0.8245271146	0.6218489236
576	0.8248695135	0.6217127003
577	0.8252570629	0.6215496704
578	0.8254793286	0.6214221045
579	0.8259293735	0.6212649679
580	0.826041311	0.6211596191
581	0.8263103366	0.6210389895
582	0.8267071843	0.620887016
583	0.8270961046	0.6207278455
584	0.8273846507	0.6206056513
585	0.8277037144	0.6204575893
586	0.8280124664	0.6203362817
587	0.8283387423	0.6202051694
588	0.828478694	0.6200988297
589	0.8289088011	0.6199632322
590	0.829246819	0.619808964
591	0.8293642402	0.6197232769
592	0.8297054768	0.6195873143
593	0.8299623728	0.6194420686
594	0.8302545547	0.6193285318
595	0.8306277394	0.6191876147
596	0.830873847	0.6190657335
597	0.8311790824	0.6189372288
598	0.8313455284	0.6188262996
599	0.8316422105	0.6186704669
600	0.8319708705	0.6185487421
601	0.8323973119	0.6184182556
602	0.8326038718	0.6182815629
603	0.8329497278	0.6181348047
604	0.8331975341	0.6179916973
605	0.8334639668	0.6178569864
606	0.8337141871	0.6177225363
607	0.8340300322	0.6175688939
608	0.8343191147	0.6174395548
609	0.834616363	0.6173033837
610	0.835000217	0.6171362337
611	0.8351188302	0.6170504423
612	0.8354492784	0.6169075955
613	0.8355901837	0.616814972
614	0.8358277082	0.6167166117
615	0.8361040354	0.6165912362
616	0.8365858793	0.6164203834
617	0.8367268443	0.6162864027
618	0.8371799588	0.6161230078
619	0.8373881578	0.6160012308
620	0.8376134634	0.6158784108
621	0.8378154039	0.6157370244
622	0.8381333947	0.6156113881
623	0.8385278583	0.6154721921
624	0.8388381004	0.615355161
625	0.8391700983	0.6152181555
626	0.8396081328	0.6150680595
627	0.8399283886	0.614928342
628	0.8403555751	0.6147759513
629	0.8406886458	0.6146170415
630	0.8409814835	0.6144781062
631	0.8411570191	0.6143779727
632	0.841404736	0.6142356997
633	0.8417640328	0.6140886807
634	0.8420356512	0.6139586115
635	0.8424448967	0.6138104452
636	0.8426118493	0.6137238193
637	0.8428604603	0.6136028768
638	0.8431472182	0.6134612817
639	0.8433170915	0.6133469105
640	0.8434846401	0.6132564252
641	0.84382689	0.6131163948
642	0.84407866	0.6129916973
643	0.8442880511	0.6128887996
644	0.844579339	0.6127410506
645	0.8447517157	0.61264874
646	0.8449903131	0.6125222693
647	0.8450977206	0.612456661
648	0.8453328013	0.6123248185
649	0.8457827568	0.6121604327
650	0.8460795283	0.6120149262
651	0.8462558389	0.6118855349
652	0.8466408253	0.6117362212
653	0.8468891978	0.6116183557
654	0.8471927047	0.611459811
655	0.8475430012	0.6113232226
656	0.8479301929	0.6111757865
657	0.8481478095	0.6110487421
658	0.8483018875	0.6109390124
659	0.8484963179	0.6108376794
