iter	Passed	Remaining
871	15922	299938
872	15939	299901
873	15958	299885
874	15975	299837
875	15992	299804
876	16011	299805
877	16029	299777
878	16046	299741
879	16065	299725
880	16081	299678
881	16099	299643
882	16117	299616
883	16136	299616
884	16154	299599
885	16172	299566
886	16189	299531
887	16208	299524
888	16227	299532
889	16245	299499
890	16263	299481
891	16281	299457
892	16299	299434
893	16319	299448
894	16339	299452
895	16357	299443
896	16376	299441
897	16396	299442
898	16416	299468
899	16436	299470
900	16455	299471
901	16473	299450
902	16491	299422
903	16509	299403
904	16528	299399
905	16547	299382
906	16565	299359
907	16583	299348
908	16604	299374
909	16622	299356
910	16641	299344
911	16658	299312
912	16675	299273
913	16693	299243
914	16711	299222
915	16730	299212
916	16748	299194
917	16765	299152
918	16785	299156
919	16803	299136
920	16821	299113
921	16840	299108
922	16859	299109
923	16878	299102
924	16896	299083
925	16916	299088
926	16934	299063
927	16952	299052
928	16970	299012
929	16988	298992
930	17005	298949
931	17023	298940
932	17041	298917
933	17061	298914
934	17080	298916
935	17097	298885
936	17116	298867
937	17135	298866
938	17155	298882
939	17173	298860
940	17192	298854
941	17212	298854
942	17232	298877
943	17251	298865
944	17269	298846
945	17286	298803
946	17303	298766
947	17322	298750
948	17339	298722
949	17358	298709
950	17377	298699
951	17394	298673
952	17415	298692
953	17433	298679
954	17453	298687
955	17472	298679
956	17490	298651
957	17511	298675
958	17531	298692
959	17547	298638
960	17564	298593
961	17582	298566
962	17600	298546
963	17618	298522
964	17636	298511
965	17655	298499
966	17673	298476
967	17691	298459
968	17709	298437
969	17730	298452
970	17747	298421
971	17765	298392
972	17782	298359
973	17800	298332
974	17819	298322
975	17836	298278
976	17853	298253
977	17872	298232
978	17890	298212
979	17908	298201
980	17926	298174
981	17944	298147
982	17962	298121
983	17981	298117
984	17999	298102
985	18017	298076
986	18036	298072
987	18055	298055
988	18074	298058
989	18091	298022
990	18109	297998
991	18127	297977
992	18145	297949
993	18162	297915
994	18181	297903
995	18199	297886
996	18217	297863
997	18236	297848
998	18254	297820
999	18272	297805
1000	18291	297795
1001	18308	297760
1002	18326	297737
1003	18344	297721
1004	18362	297697
1005	18381	297679
1006	18401	297690
1007	18418	297659
1008	18435	297621
1009	18454	297615
1010	18473	297609
1011	18492	297597
1012	18513	297626
1013	18533	297625
1014	18550	297593
1015	18567	297561
1016	18584	297519
1017	18603	297506
1018	18621	297488
1019	18639	297470
1020	18657	297439
1021	18675	297418
1022	18693	297392
1023	18713	297400
1024	18732	297394
1025	18751	297386
1026	18769	297362
1027	18786	297327
1028	18804	297303
1029	18822	297287
1030	18841	297282
1031	18858	297247
1032	18876	297219
1033	18895	297209
1034	18914	297197
1035	18931	297170
1036	18949	297146
1037	18966	297109
1038	18984	297084
1039	19002	297057
1040	19021	297056
1041	19039	297037
1042	19058	297028
1043	19075	296984
1044	19093	296970
1045	19113	296969
1046	19132	296958
1047	19149	296929
1048	19168	296924
1049	19190	296965
1050	19208	296944
1051	19226	296912
1052	19245	296900
1053	19261	296860
1054	19279	296826
1055	19297	296803
1056	19316	296800
1057	19334	296780
1058	19354	296783
1059	19371	296754
1060	19391	296750
1061	19409	296730
1062	19426	296697
1063	19445	296684
1064	19463	296660
1065	19480	296633
1066	19498	296611
1067	19518	296617
1068	19537	296603
1069	19555	296588
1070	19573	296570
1071	19593	296568
1072	19611	296555
1073	19629	296525
1074	19646	296492
1075	19664	296466
1076	19681	296435
1077	19699	296409
1078	19720	296430
1079	19738	296404
1080	19756	296379
1081	19773	296343
1082	19791	296325
1083	19811	296329
1084	19828	296295
1085	19846	296278
1086	19864	296253
1087	19883	296249
1088	19902	296228
1089	19922	296240
1090	19941	296227
1091	19958	296192
1092	19977	296189
1093	19996	296180
1094	20015	296169
1095	20033	296151
1096	20051	296136
1097	20070	296127
1098	20089	296115
1099	20108	296099
1100	20125	296064
1101	20141	296024
1102	20159	295995
1103	20177	295974
1104	20196	295966
1105	20217	295985
1106	20234	295957
1107	20253	295935
1108	20270	295903
1109	20288	295887
1110	20308	295895
1111	20326	295872
1112	20344	295849
1113	20362	295825
1114	20380	295804
1115	20400	295803
1116	20419	295803
1117	20439	295803
1118	20457	295777
1119	20473	295739
1120	20490	295699
1121	20508	295671
1122	20527	295663
1123	20544	295635
1124	20565	295647
1125	20584	295636
1126	20603	295637
1127	20621	295608
1128	20640	295603
1129	20658	295576
1130	20676	295562
1131	20694	295530
1132	20714	295545
1133	20731	295510
1134	20749	295480
1135	20766	295444
1136	20783	295408
1137	20801	295383
1138	20820	295378
1139	20837	295348
1140	20857	295344
1141	20874	295314
1142	20894	295321
1143	20914	295327
1144	20933	295322
1145	20950	295286
1146	20971	295295
1147	20989	295274
1148	21008	295264
1149	21027	295263
1150	21045	295233
1151	21062	295209
1152	21081	295199
1153	21100	295191
1154	21118	295169
1155	21138	295166
1156	21157	295165
1157	21177	295164
1158	21197	295179
1159	21217	295182
1160	21236	295165
1161	21254	295145
1162	21271	295115
1163	21290	295109
1164	21308	295080
1165	21326	295056
1166	21344	295042
1167	21363	295023
1168	21382	295019
1169	21401	295005
1170	21419	294988
1171	21437	294963
1172	21454	294936
1173	21474	294930
1174	21491	294906
1175	21510	294896
1176	21529	294883
1177	21547	294855
1178	21565	294834
1179	21583	294817
1180	21600	294786
1181	21620	294783
1182	21638	294762
1183	21656	294741
1184	21673	294703
1185	21692	294693
1186	21711	294683
1187	21728	294647
1188	21746	294634
1189	21764	294609
1190	21784	294617
1191	21802	294583
1192	21819	294554
1193	21839	294557
1194	21857	294541
1195	21875	294518
1196	21894	294500
1197	21912	294486
1198	21930	294458
1199	21948	294435
1200	21965	294407
1201	21984	294389
1202	22001	294365
1203	22020	294352
1204	22039	294336
1205	22056	294312
1206	22075	294292
1207	22092	294257
1208	22111	294247
1209	22129	294229
1210	22147	294208
1211	22166	294195
1212	22185	294190
1213	22203	294175
1214	22222	294159
1215	22240	294142
1216	22259	294129
1217	22279	294130
1218	22298	294125
1219	22317	294115
1220	22335	294093
1221	22352	294062
1222	22370	294031
1223	22391	294050
1224	22409	294034
1225	22427	294010
1226	22445	293981
1227	22461	293940
1228	22480	293933
1229	22498	293902
1230	22515	293876
1231	22533	293850
1232	22551	293831
1233	22570	293813
1234	22589	293803
1235	22606	293780
1236	22624	293751
1237	22641	293713
1238	22658	293683
1239	22677	293671
1240	22696	293668
1241	22715	293655
1242	22733	293635
1243	22751	293606
1244	22768	293574
1245	22790	293602
1246	22809	293596
1247	22828	293586
1248	22848	293595
1249	22868	293589
1250	22888	293598
1251	22908	293599
1252	22926	293582
1253	22944	293557
1254	22963	293543
1255	22981	293521
1256	22998	293489
1257	23017	293481
1258	23033	293438
1259	23051	293412
1260	23071	293410
1261	23088	293386
1262	23108	293388
